"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.012146500E1,2.445065470E1,2.435387794E1,NaN,NaN,6.089099884E1,2.195712328E0
5.074548300E-2,6.011680790E1,2.444355260E1,NaN,NaN,NaN,3.000000000E2,0.000000000E0
1.954330521E0,6.012163840E1,2.445205904E1,4.515524289E1,3.600000143E-1,2.190000000E2,1.503243256E1,2.031082344E1
2.954081926E0,6.012159473E1,2.445220784E1,5.261869132E1,2.899999917E-1,2.190000000E2,1.128594398E1,1.475720978E1
3.954432916E0,6.012170559E1,2.445211613E1,4.276779840E1,0.000000000E0,NaN,1.080690670E1,1.451479816E1
5.035333228E0,6.012169160E1,2.445207427E1,2.836675460E1,0.000000000E0,NaN,5.008589745E0,6.928614616E0
6.035083072E0,6.012169246E1,2.445208363E1,2.830267970E1,0.000000000E0,NaN,4.338466167E0,5.812729359E0
7.035631092E0,6.012170138E1,2.445207520E1,2.630729713E1,0.000000000E0,NaN,4.045348644E0,5.305561066E0
8.035727289E0,6.012170292E1,2.445207033E1,2.589115105E1,0.000000000E0,NaN,3.845109701E0,4.632722855E0
9.035702132E0,6.012170606E1,2.445206625E1,2.547018256E1,0.000000000E0,NaN,3.790092468E0,4.232897282E0
1.003504797E1,6.012170625E1,2.445206791E1,2.587252840E1,0.000000000E0,NaN,3.790092468E0,3.866571426E0
1.103565817E1,6.012171093E1,2.445205299E1,2.348969025E1,0.000000000E0,NaN,3.790092468E0,3.162286282E0
1.203520015E1,6.012170635E1,2.445205434E1,2.257447487E1,0.000000000E0,NaN,3.790092468E0,3.315003633E0
1.303516505E1,6.012170433E1,2.445205592E1,2.222181809E1,0.000000000E0,NaN,3.790092468E0,3.219986439E0
1.403522817E1,6.012170552E1,2.445205572E1,2.214582777E1,0.000000000E0,NaN,3.790092468E0,2.811780214E0
1.503499078E1,6.012169927E1,2.445207481E1,2.174406644E1,8.999999762E-1,1.286999969E2,3.790092468E0,2.543154478E0
1.603568583E1,6.012169486E1,2.445208233E1,2.168048294E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.703577744E1,6.012169377E1,2.445208559E1,2.155713657E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.803565723E1,6.012169207E1,2.445208931E1,2.162922606E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.903498801E1,6.012167491E1,2.445213979E1,2.116056428E1,2.240000010E0,1.275000000E2,3.790092468E0,2.500000000E0
2.003560458E1,6.012166618E1,2.445217096E1,2.047195708E1,1.360000014E0,1.270999985E2,3.790092468E0,2.500000000E0
