"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.283788600E-2,1.080656052E-2,7.380962372E-3,8.847379684E-2
1.783387500E-2,9.342932701E-2,4.234313965E-4,3.863587379E-1
2.282986500E-2,1.547651291E-1,1.107835770E-2,7.402067184E-1
2.782585500E-2,2.515168190E-1,1.719474792E-3,1.084827423E0
3.282184400E-2,3.780720234E-1,-3.458786011E-2,1.359123230E0
3.781783400E-2,4.813803434E-1,-8.498287201E-2,1.463436127E0
4.281382300E-2,5.289640427E-1,-1.127543449E-1,1.416815758E0
4.780981300E-2,4.931279421E-1,-1.427612305E-1,1.316449165E0
5.280580300E-2,4.922838211E-1,-1.626601219E-1,1.173103333E0
5.780179200E-2,4.571454525E-1,-1.910457611E-1,9.147024155E-1
6.279778200E-2,3.322272301E-1,-2.010636330E-1,6.626472473E-1
6.779377100E-2,2.016583681E-1,-1.759142876E-1,3.714570999E-1
7.278976100E-2,9.872293472E-2,-1.525015831E-1,4.357051849E-2
7.778575000E-2,1.928949356E-2,-1.160988808E-1,-2.782287598E-1
8.278174000E-2,-5.336081982E-2,-3.459310532E-2,-5.755329132E-1
8.777773000E-2,-7.161259651E-2,5.046653748E-2,-8.796787262E-1
9.277371900E-2,-7.519853115E-2,1.132383347E-1,-1.120301723E0
9.776970900E-2,-6.515216827E-2,2.060623169E-1,-1.266131401E0
1.027656980E-1,-3.310477734E-2,2.827143669E-1,-1.277050018E0
1.077616880E-1,3.807878494E-2,3.170642853E-1,-1.245973587E0
1.127576780E-1,1.515666246E-1,3.159508705E-1,-1.165377617E0
1.177536670E-1,1.871103048E-1,2.624368668E-1,-1.087132454E0
1.227496570E-1,2.122963667E-1,2.087759972E-1,-9.876317978E-1
1.277456460E-1,1.631072760E-1,1.590442657E-1,-8.348975182E-1
1.327416360E-1,1.433043480E-1,1.264991760E-1,-7.039456367E-1
1.377376250E-1,1.061260700E-1,8.700275421E-2,-5.885806084E-1
1.427336150E-1,9.861183167E-2,6.793642044E-2,-4.413509369E-1
1.477296050E-1,1.154898405E-1,4.057168961E-2,-3.274383545E-1
1.527255940E-1,1.286661625E-1,-2.762508392E-2,-2.358808517E-1
1.577215840E-1,1.387552023E-1,-8.932685852E-2,-1.794404984E-1
1.627175730E-1,1.599091291E-1,-1.682310104E-1,-5.471038818E-2
1.677135630E-1,2.148027420E-1,-2.176966667E-1,1.690416336E-1
1.727095530E-1,2.516990900E-1,-2.624692917E-1,3.037900925E-1
1.777055420E-1,2.016243935E-1,-2.936902046E-1,3.617830276E-1
1.827015320E-1,1.042169333E-1,-3.026914597E-1,3.779611588E-1
1.876975210E-1,6.730484962E-2,-3.226351738E-1,3.440294266E-1
1.926935110E-1,7.965636253E-2,-3.110523224E-1,2.564010620E-1
1.976895000E-1,1.072599888E-1,-3.012232780E-1,1.488723755E-1
2.026854900E-1,9.820532799E-2,-2.881522179E-1,1.227474213E-2
2.076814800E-1,5.786573887E-2,-2.946991920E-1,-1.625385284E-1
2.126774690E-1,4.742789268E-2,-2.874498367E-1,-3.376398087E-1
2.176734590E-1,6.128895283E-2,-2.943348885E-1,-5.462403297E-1
2.226694480E-1,9.731173515E-3,-2.723245621E-1,-7.554230690E-1
2.276654380E-1,-4.558277130E-2,-2.730603218E-1,-9.095840454E-1
2.326614280E-1,-5.813384056E-2,-2.537136078E-1,-1.043017387E0
2.376574170E-1,-5.268335342E-2,-2.378578186E-1,-1.142457962E0
2.426534070E-1,-4.383277893E-2,-2.064390182E-1,-1.218226910E0
2.476493960E-1,-5.964851379E-2,-1.597571373E-1,-1.195778370E0
2.526453860E-1,-5.254113674E-2,-9.804344177E-2,-1.105182648E0
2.576413750E-1,-6.038868427E-2,-9.686803818E-2,-8.818178177E-1
2.626373650E-1,-5.436050892E-2,-1.085014343E-1,-5.793957710E-1
2.676333550E-1,-1.571345329E-2,-1.379170418E-1,-2.599043846E-1
2.726293440E-1,2.747786045E-2,-1.854257584E-1,3.949928284E-2
2.776253340E-1,8.035659790E-2,-1.994481087E-1,2.680406570E-1
2.826213230E-1,8.187735081E-2,-1.951975822E-1,4.415874481E-1
2.876173130E-1,3.761923313E-2,-1.779365540E-1,4.954881668E-1
2.926133030E-1,-1.414275169E-2,-1.668505669E-1,5.307178497E-1
2.976092920E-1,-8.287405968E-2,-1.523437500E-1,5.475387573E-1
3.026052820E-1,-9.765076637E-2,-1.016588211E-1,5.887470245E-1
3.076012710E-1,-7.330191135E-2,-2.021265030E-2,6.588020325E-1
3.125972610E-1,-2.926182747E-2,2.555131912E-2,6.866359711E-1
3.175932500E-1,-1.779091358E-2,-6.184577942E-3,6.304903030E-1
3.225892400E-1,-9.028983116E-2,-2.937173843E-2,5.057725906E-1
3.275852300E-1,-1.655886173E-1,-3.472137451E-2,3.417177200E-1
3.325812190E-1,-2.161886692E-1,-4.586601257E-2,1.715440750E-1
3.375772090E-1,-1.960389614E-1,-6.706190109E-2,-3.814888000E-2
3.425731980E-1,-1.349365711E-1,-7.417821884E-2,-2.777876854E-1
3.475691880E-1,-8.063745499E-2,-7.172822952E-2,-5.142560005E-1
3.525651780E-1,-4.707431793E-2,-4.052495956E-2,-6.865768433E-1
3.575611670E-1,-4.334402084E-2,-8.931636810E-3,-7.628803253E-1
3.625571570E-1,-3.134727478E-2,2.785396576E-2,-7.398853302E-1
3.675531460E-1,-5.385351181E-2,5.588245392E-2,-7.088880539E-1
3.725491360E-1,-4.891824722E-2,7.046508789E-2,-6.746435165E-1
3.775451250E-1,-1.645565033E-2,7.178497314E-2,-6.654157639E-1
3.825411150E-1,1.039958000E-2,8.358907700E-2,-5.909824371E-1
